Song Name,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
000002.mp3,"""rgb(220, 150, 30)""","""rgb(180, 120, 40)""","""rgb(200, 160, 50)""","""rgb(210, 140, 35)""","""rgb(190, 130, 45)"""
000005.mp3,"""rgb(230, 165, 40)""","""rgb(210, 150, 30)""","""rgb(120, 80, 20)""","""rgb(180, 110, 30)""","""rgb(240, 120, 40)"""
000010.mp3,"""rgb(220, 60, 30)""","""rgb(40, 40, 40)""","""rgb(140, 100, 60)""","""rgb(200, 80, 40)""","""rgb(230, 130, 60)"""
000140.mp3,"""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)"""
000141.mp3,"""rgb(120, 180, 60)""","""rgb(60, 100, 120)""","""rgb(150, 100, 100)""","""rgb(80, 60, 100)""","""rgb(140, 160, 120)"""
000148.mp3,"""rgb(255, 30, 30)""","""rgb(255, 150, 30)""","""rgb(255, 30, 150)""","""rgb(30, 30, 255)""","""rgb(255, 30, 30)"""
000182.mp3,"""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 150, 0)"""
000190.mp3,"""rgb(10, 15, 10)""","""rgb(180, 200, 160)""","""rgb(80, 120, 100)""","""rgb(200, 180, 80)""","""rgb(150, 190, 120)"""
000193.mp3,"""rgb(100, 20, 30)""","""rgb(120, 60, 40)""","""rgb(80, 40, 60)""","""rgb(140, 80, 20)""","""rgb(160, 100, 50)"""
000194.mp3,"""rgb(100, 150, 120)""","""rgb(120, 140, 110)""","""rgb(130, 145, 105)""","""rgb(110, 135, 95)""","""rgb(125, 140, 90)"""
000197.mp3,"""rgb(10, 20, 60)""","""rgb(15, 25, 65)""","""rgb(20, 30, 70)""","""rgb(25, 35, 75)""","""rgb(30, 40, 80)"""
000200.mp3,"""rgb(100, 150, 100)""","""rgb(50, 100, 50)""","""rgb(120, 130, 110)""","""rgb(70, 110, 60)""","""rgb(90, 140, 80)"""
000203.mp3,"""rgb(120, 180, 60)""","""rgb(150, 170, 50)""","""rgb(160, 180, 40)""","""rgb(140, 170, 55)""","""rgb(130, 160, 65)"""
000204.mp3,"""rgb(10, 150, 150)""","""rgb(30, 130, 120)""","""rgb(50, 120, 90)""","""rgb(20, 140, 110)""","""rgb(40, 130, 100)"""
000207.mp3,"""rgb(10, 150, 150)""","""rgb(180, 180, 100)""","""rgb(100, 100, 100)""","""rgb(200, 100, 50)""","""rgb(150, 150, 50)"""
000210.mp3,"""rgb(120, 160, 80)""","""rgb(110, 140, 70)""","""rgb(130, 150, 60)""","""rgb(100, 130, 60)""","""rgb(125, 155, 75)"""
000211.mp3,"""rgb(120, 150, 100)""","""rgb(130, 140, 90)""","""rgb(110, 130, 80)""","""rgb(125, 135, 95)""","""rgb(100, 120, 70)"""
000212.mp3,"""rgb(170, 180, 140)""","""rgb(190, 160, 110)""","""rgb(150, 160, 100)""","""rgb(70, 100, 80)""","""rgb(140, 160, 110)"""
000213.mp3,"""rgb(180, 100, 40)""","""rgb(50, 100, 100)""","""rgb(150, 150, 100)""","""rgb(50, 50, 100)""","""rgb(100, 100, 100)"""
000255.mp3,"""rgb(120, 160, 100)""","""rgb(180, 100, 60)""","""rgb(200, 150, 80)""","""rgb(190, 140, 50)""","""rgb(180, 160, 100)"""
000256.mp3,"""rgb(230, 60, 30)""","""rgb(210, 70, 30)""","""rgb(240, 100, 30)""","""rgb(220, 80, 30)""","""rgb(230, 50, 30)"""
000368.mp3,"""rgb(200, 50, 50)""","""rgb(100, 150, 50)""","""rgb(200, 100, 100)""","""rgb(150, 50, 100)""","""rgb(180, 60, 60)"""
000424.mp3,"""rgb(135, 150, 100)""","""rgb(180, 190, 120)""","""rgb(30, 40, 60)""","""rgb(50, 70, 90)""","""rgb(160, 170, 140)"""
000459.mp3,"""rgb(230, 100, 40)""","""rgb(210, 130, 60)""","""rgb(180, 80, 20)""","""rgb(200, 150, 60)""","""rgb(220, 120, 40)"""
000534.mp3,"""rgb(120, 180, 60)""","""rgb(30, 50, 10)""","""rgb(150, 170, 60)""","""rgb(140, 160, 50)""","""rgb(120, 170, 50)"""
000540.mp3,"""rgb(140, 180, 100)""","""rgb(60, 80, 120)""","""rgb(160, 160, 140)""","""rgb(120, 100, 80)""","""rgb(180, 160, 140)"""
000546.mp3,"""rgb(120, 140, 100)""","""rgb(180, 160, 120)""","""rgb(80, 60, 40)""","""rgb(140, 100, 60)""","""rgb(160, 140, 120)"""
000574.mp3,"""rgb(255, 100, 0)""","""rgb(0, 100, 0)""","""rgb(255, 100, 0)""","""rgb(255, 0, 0)""","""rgb(255, 100, 0)"""
000602.mp3,"""rgb(100, 180, 100)""","""rgb(120, 170, 90)""","""rgb(110, 175, 95)""","""rgb(105, 178, 92)""","""rgb(80, 160, 85)"""
000615.mp3,"""rgb(100, 150, 50)""","""rgb(180, 190, 120)""","""rgb(140, 160, 80)""","""rgb(50, 100, 150)""","""rgb(120, 160, 100)"""
000620.mp3,"""rgb(135, 190, 100)""","""rgb(60, 50, 80)""","""rgb(170, 80, 120)""","""rgb(30, 10, 40)""","""rgb(150, 180, 100)"""
000621.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 90)""","""rgb(200, 100, 50)""","""rgb(80, 180, 120)""","""rgb(140, 160, 110)"""
000625.mp3,"""rgb(170, 100, 50)""","""rgb(30, 30, 30)""","""rgb(100, 100, 100)""","""rgb(50, 50, 50)""","""rgb(150, 100, 50)"""
000666.mp3,"""rgb(190, 50, 50)""","""rgb(140, 120, 60)""","""rgb(200, 80, 60)""","""rgb(180, 100, 50)""","""rgb(220, 130, 50)"""
000667.mp3,"""rgb(255, 50, 0)""","""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 180, 0)""","""rgb(255, 200, 0)"""
000676.mp3,"""rgb(140, 170, 100)""","""rgb(30, 20, 50)""","""rgb(200, 100, 50)""","""rgb(170, 140, 80)""","""rgb(220, 150, 60)"""
000690.mp3,"""rgb(230, 50, 30)""","""rgb(100, 30, 50)""","""rgb(200, 50, 30)""","""rgb(230, 50, 30)""","""rgb(230, 50, 30)"""
000694.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 50)""","""rgb(255, 180, 50)""","""rgb(255, 190, 60)""","""rgb(30, 30, 30)"""
000695.mp3,"""rgb(255, 30, 30)""","""rgb(128, 128, 64)""","""rgb(255, 165, 0)""","""rgb(255, 0, 0)""","""rgb(128, 0, 128)"""
000704.mp3,"""rgb(170, 200, 100)""","""rgb(200, 180, 120)""","""rgb(210, 150, 80)""","""rgb(220, 160, 60)""","""rgb(230, 140, 40)"""
000705.mp3,"""rgb(255, 100, 50)""","""rgb(255, 150, 50)""","""rgb(255, 170, 50)""","""rgb(255, 180, 50)""","""rgb(255, 190, 50)"""
000706.mp3,"""rgb(230, 100, 30)""","""rgb(120, 180, 80)""","""rgb(200, 150, 50)""","""rgb(100, 160, 100)""","""rgb(180, 120, 60)"""
000707.mp3,"""rgb(220, 50, 30)""","""rgb(120, 80, 60)""","""rgb(200, 100, 40)""","""rgb(230, 60, 30)""","""rgb(150, 70, 40)"""
000708.mp3,"""rgb(255, 102, 34)""","""rgb(255, 153, 51)""","""rgb(255, 178, 34)""","""rgb(102, 34, 0)""","""rgb(255, 102, 34)"""
000709.mp3,"""rgb(200, 100, 50)""","""rgb(200, 100, 50)""","""rgb(200, 150, 50)""","""rgb(100, 200, 50)""","""rgb(150, 150, 50)"""
000714.mp3,"""rgb(10, 30, 15)""","""rgb(120, 60, 20)""","""rgb(15, 10, 30)""","""rgb(120, 30, 10)""","""rgb(10, 150, 10)"""
000715.mp3,"""rgb(120, 180, 50)""","""rgb(60, 40, 10)""","""rgb(150, 160, 120)""","""rgb(130, 170, 60)""","""rgb(140, 165, 55)"""
000716.mp3,"""rgb(120, 180, 45)""","""rgb(100, 160, 30)""","""rgb(40, 20, 10)""","""rgb(150, 190, 60)""","""rgb(180, 150, 30)"""
000718.mp3,"""rgb(120, 170, 80)""","""rgb(150, 100, 50)""","""rgb(140, 180, 100)""","""rgb(130, 160, 60)""","""rgb(160, 110, 40)"""
000777.mp3,"""rgb(140, 190, 120)""","""rgb(200, 50, 50)""","""rgb(160, 180, 100)""","""rgb(220, 180, 100)""","""rgb(130, 180, 120)"""
000814.mp3,"""rgb(10, 180, 180)""","""rgb(120, 150, 100)""","""rgb(150, 120, 50)""","""rgb(10, 180, 180)""","""rgb(200, 160, 60)"""
000821.mp3,"""rgb(120, 160, 80)""","""rgb(180, 120, 60)""","""rgb(150, 170, 85)""","""rgb(130, 165, 70)""","""rgb(140, 155, 65)"""
000822.mp3,"""rgb(255, 100, 30)""","""rgb(100, 255, 50)""","""rgb(50, 50, 255)""","""rgb(255, 255, 100)""","""rgb(150, 150, 150)"""
000825.mp3,"""rgb(255, 10, 10)""","""rgb(255, 10, 10)""","""rgb(255, 10, 10)""","""rgb(255, 10, 10)""","""rgb(255, 10, 10)"""
000853.mp3,"""rgb(200, 60, 40)""","""rgb(210, 70, 30)""","""rgb(220, 80, 20)""","""rgb(180, 50, 30)""","""rgb(150, 40, 20)"""
000890.mp3,"""rgb(120, 30, 50)""","""rgb(150, 120, 80)""","""rgb(180, 150, 100)""","""rgb(100, 180, 120)""","""rgb(140, 140, 100)"""
000892.mp3,"""rgb(140, 100, 50)""","""rgb(200, 150, 80)""","""rgb(180, 120, 60)""","""rgb(210, 160, 70)""","""rgb(160, 110, 40)"""
000897.mp3,"""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(50, 50, 255)"""
000993.mp3,"""rgb(200, 100, 50)""","""rgb(30, 30, 60)""","""rgb(150, 50, 150)""","""rgb(180, 80, 30)""","""rgb(220, 150, 50)"""
000995.mp3,"""rgb(220, 30, 30)""","""rgb(230, 40, 35)""","""rgb(210, 20, 25)""","""rgb(100, 50, 50)""","""rgb(150, 30, 30)"""
000997.mp3,"""rgb(255, 30, 30)""","""rgb(255, 60, 30)""","""rgb(255, 90, 30)""","""rgb(255, 120, 30)""","""rgb(255, 150, 30)"""
000998.mp3,"""rgb(200, 50, 30)""","""rgb(220, 60, 35)""","""rgb(30, 50, 100)""","""rgb(180, 30, 120)""","""rgb(150, 40, 110)"""
005006.mp3,"""rgb(255, 50, 30)""","""rgb(255, 50, 30)""","""rgb(255, 50, 30)""","""rgb(255, 50, 30)""","""rgb(255, 50, 30)"""
005156.mp3,"""rgb(120, 180, 100)""","""rgb(150, 190, 110)""","""rgb(130, 170, 90)""","""rgb(140, 185, 105)""","""rgb(135, 180, 95)"""
005157.mp3,"""rgb(170, 200, 120)""","""rgb(180, 210, 130)""","""rgb(160, 200, 110)""","""rgb(175, 215, 125)""","""rgb(165, 205, 115)"""
005158.mp3,"""rgb(200, 50, 30)""","""rgb(100, 150, 50)""","""rgb(150, 180, 120)""","""rgb(120, 80, 100)""","""rgb(180, 140, 100)"""
005159.mp3,"""rgb(120, 160, 120)""","""rgb(130, 150, 110)""","""rgb(125, 155, 115)""","""rgb(128, 158, 118)""","""rgb(122, 152, 112)"""
005169.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 90)""","""rgb(110, 145, 95)""","""rgb(125, 165, 85)""","""rgb(105, 155, 90)"""
005170.mp3,"""rgb(170, 213, 170)""","""rgb(200, 210, 180)""","""rgb(190, 200, 170)""","""rgb(180, 205, 165)""","""rgb(175, 205, 160)"""
005171.mp3,"""rgb(160, 191, 150)""","""rgb(170, 185, 145)""","""rgb(165, 180, 135)""","""rgb(160, 180, 130)""","""rgb(165, 185, 140)"""
005191.mp3,"""rgb(200, 70, 30)""","""rgb(150, 50, 20)""","""rgb(100, 30, 10)""","""rgb(180, 80, 40)""","""rgb(220, 100, 50)"""
005264.mp3,"""rgb(200, 100, 50)""","""rgb(220, 130, 60)""","""rgb(150, 170, 120)""","""rgb(180, 140, 90)""","""rgb(120, 160, 80)"""
005268.mp3,"""rgb(100, 150, 50)""","""rgb(140, 120, 80)""","""rgb(180, 160, 60)""","""rgb(120, 80, 100)""","""rgb(150, 130, 70)"""
005376.mp3,"""rgb(170, 50, 100)""","""rgb(120, 60, 80)""","""rgb(140, 55, 70)""","""rgb(130, 45, 65)""","""rgb(160, 55, 75)"""
005381.mp3,"""rgb(100, 150, 100)""","""rgb(80, 130, 80)""","""rgb(120, 160, 110)""","""rgb(200, 50, 30)""","""rgb(180, 120, 60)"""
005521.mp3,"""rgb(200, 50, 50)""","""rgb(180, 100, 60)""","""rgb(120, 150, 180)""","""rgb(100, 180, 120)""","""rgb(80, 160, 140)"""
005879.mp3,"""rgb(180, 30, 45)""","""rgb(210, 100, 50)""","""rgb(40, 60, 80)""","""rgb(190, 50, 60)""","""rgb(220, 120, 50)"""
005936.mp3,"""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(180, 180, 180)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)"""
005940.mp3,"""rgb(100, 150, 50)""","""rgb(80, 120, 60)""","""rgb(130, 160, 70)""","""rgb(110, 140, 55)""","""rgb(90, 130, 65)"""
025028.mp3,"""rgb(100, 20, 20)""","""rgb(180, 120, 60)""","""rgb(100, 150, 150)""","""rgb(200, 100, 50)""","""rgb(180, 180, 60)"""
025029.mp3,"""rgb(50, 70, 100)""","""rgb(120, 160, 100)""","""rgb(100, 140, 80)""","""rgb(130, 150, 110)""","""rgb(180, 120, 60)"""
025030.mp3,"""rgb(10, 10, 10)""","""rgb(150, 100, 50)""","""rgb(170, 10, 10)""","""rgb(10, 170, 10)""","""rgb(10, 10, 170)"""
025031.mp3,"""rgb(10, 10, 150)""","""rgb(10, 10, 150)""","""rgb(160, 160, 160)""","""rgb(10, 10, 150)""","""rgb(10, 10, 150)"""
025032.mp3,"""rgb(230, 50, 30)""","""rgb(100, 150, 50)""","""rgb(200, 100, 50)""","""rgb(150, 150, 100)""","""rgb(220, 120, 60)"""
025033.mp3,"""rgb(255, 100, 50)""","""rgb(255, 150, 50)""","""rgb(255, 170, 50)""","""rgb(255, 190, 50)""","""rgb(255, 210, 50)"""
025055.mp3,"""rgb(10, 10, 200)""","""rgb(10, 10, 200)""","""rgb(10, 10, 200)""","""rgb(50, 150, 150)""","""rgb(10, 10, 200)"""
025063.mp3,"""rgb(230, 10, 20)""","""rgb(120, 50, 100)""","""rgb(180, 30, 60)""","""rgb(200, 150, 30)""","""rgb(80, 80, 120)"""
025066.mp3,"""rgb(100, 150, 50)""","""rgb(140, 130, 60)""","""rgb(120, 110, 40)""","""rgb(130, 120, 50)""","""rgb(110, 140, 60)"""
025104.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 50)""","""rgb(255, 130, 40)""","""rgb(50, 50, 255)""","""rgb(200, 100, 100)"""
025124.mp3,"""rgb(180, 100, 40)""","""rgb(50, 100, 150)""","""rgb(100, 100, 150)""","""rgb(70, 100, 130)""","""rgb(180, 150, 60)"""
025215.mp3,"""rgb(120, 180, 50)""","""rgb(140, 150, 60)""","""rgb(160, 130, 40)""","""rgb(200, 180, 50)""","""rgb(220, 170, 40)"""
025216.mp3,"""rgb(255, 100, 50)""","""rgb(150, 120, 50)""","""rgb(230, 160, 60)""","""rgb(80, 180, 100)""","""rgb(100, 150, 50)"""
025227.mp3,"""rgb(10, 20, 200)""","""rgb(170, 200, 50)""","""rgb(170, 200, 50)""","""rgb(170, 200, 50)""","""rgb(200, 100, 50)"""
025232.mp3,"""rgb(10, 10, 10)""","""rgb(150, 180, 120)""","""rgb(30, 30, 50)""","""rgb(120, 150, 80)""","""rgb(200, 200, 150)"""
025233.mp3,"""rgb(150, 180, 100)""","""rgb(160, 170, 80)""","""rgb(140, 160, 90)""","""rgb(50, 120, 150)""","""rgb(200, 190, 110)"""
025234.mp3,"""rgb(120, 180, 50)""","""rgb(100, 150, 60)""","""rgb(160, 80, 40)""","""rgb(200, 160, 80)""","""rgb(180, 140, 60)"""
025235.mp3,"""rgb(190, 60, 30)""","""rgb(50, 100, 150)""","""rgb(160, 180, 120)""","""rgb(140, 160, 100)""","""rgb(180, 120, 40)"""
025324.mp3,"""rgb(200, 30, 30)""","""rgb(210, 40, 35)""","""rgb(190, 35, 30)""","""rgb(220, 45, 35)""","""rgb(215, 40, 30)"""
025378.mp3,"""rgb(180, 50, 50)""","""rgb(140, 100, 60)""","""rgb(100, 150, 160)""","""rgb(190, 80, 30)""","""rgb(200, 120, 40)"""
025601.mp3,"""rgb(100, 150, 50)""","""rgb(130, 160, 60)""","""rgb(120, 140, 55)""","""rgb(110, 145, 55)""","""rgb(125, 155, 50)"""
