Canzone Origine,"Migliore 1 (Canzone, Similarità)","Migliore 2 (Canzone, Similarità)","Migliore 3 (Canzone, Similarità)","Peggiore 1 (Canzone, Similarità)","Peggiore 2 (Canzone, Similarità)","Peggiore 3 (Canzone, Similarità)"
000002.mp3,000705.mp3 (0.988),025033.mp3 (0.986),000459.mp3 (0.978),025055.mp3 (0.329),025031.mp3 (0.447),000140.mp3 (0.550)
000005.mp3,000459.mp3 (0.979),000002.mp3 (0.966),005191.mp3 (0.964),025055.mp3 (0.282),025031.mp3 (0.319),000140.mp3 (0.499)
000010.mp3,000993.mp3 (0.966),000690.mp3 (0.954),000666.mp3 (0.951),025055.mp3 (0.360),025030.mp3 (0.436),025031.mp3 (0.443)
000140.mp3,000204.mp3 (0.978),005936.mp3 (0.944),000197.mp3 (0.898),000825.mp3 (0.102),005006.mp3 (0.262),000574.mp3 (0.270)
000141.mp3,000540.mp3 (0.981),000620.mp3 (0.958),000200.mp3 (0.956),025055.mp3 (0.578),025030.mp3 (0.584),000825.mp3 (0.591)
000148.mp3,025104.mp3 (0.946),000995.mp3 (0.891),000368.mp3 (0.891),025055.mp3 (0.374),000140.mp3 (0.429),000714.mp3 (0.450)
000182.mp3,000667.mp3 (0.987),000705.mp3 (0.979),000997.mp3 (0.978),025055.mp3 (0.172),025031.mp3 (0.276),000140.mp3 (0.361)
000190.mp3,025232.mp3 (0.954),025029.mp3 (0.932),025028.mp3 (0.926),025031.mp3 (0.529),000825.mp3 (0.561),025055.mp3 (0.564)
000193.mp3,000666.mp3 (0.968),005879.mp3 (0.965),025033.mp3 (0.958),025031.mp3 (0.430),025055.mp3 (0.434),000140.mp3 (0.521)
000194.mp3,005171.mp3 (0.998),005159.mp3 (0.997),005170.mp3 (0.997),000825.mp3 (0.597),025055.mp3 (0.626),025030.mp3 (0.655)
000197.mp3,025055.mp3 (0.918),000140.mp3 (0.898),005936.mp3 (0.878),000825.mp3 (0.300),000574.mp3 (0.340),000182.mp3 (0.398)
000200.mp3,000194.mp3 (0.975),000210.mp3 (0.974),005159.mp3 (0.973),000825.mp3 (0.532),025055.mp3 (0.588),025030.mp3 (0.595)
000203.mp3,025601.mp3 (0.995),025066.mp3 (0.991),000210.mp3 (0.988),025055.mp3 (0.412),025031.mp3 (0.513),000197.mp3 (0.643)
000204.mp3,000140.mp3 (0.978),005936.mp3 (0.951),000602.mp3 (0.920),000825.mp3 (0.220),005006.mp3 (0.376),000574.mp3 (0.378)
000207.mp3,025029.mp3 (0.940),000546.mp3 (0.938),000194.mp3 (0.936),025055.mp3 (0.538),025031.mp3 (0.546),025030.mp3 (0.589)
000210.mp3,025601.mp3 (0.991),005157.mp3 (0.991),005156.mp3 (0.990),025055.mp3 (0.495),025031.mp3 (0.585),000825.mp3 (0.624)
000211.mp3,005157.mp3 (0.996),005171.mp3 (0.994),005159.mp3 (0.994),025055.mp3 (0.583),025031.mp3 (0.628),000825.mp3 (0.629)
000212.mp3,005171.mp3 (0.979),000194.mp3 (0.977),025233.mp3 (0.976),025055.mp3 (0.550),000825.mp3 (0.638),025031.mp3 (0.648)
000213.mp3,005158.mp3 (0.953),000141.mp3 (0.950),000540.mp3 (0.947),000714.mp3 (0.521),025055.mp3 (0.549),025030.mp3 (0.579)
000255.mp3,000821.mp3 (0.982),000704.mp3 (0.977),000777.mp3 (0.977),025055.mp3 (0.481),025031.mp3 (0.578),025030.mp3 (0.671)
000256.mp3,005006.mp3 (0.990),000853.mp3 (0.990),025324.mp3 (0.985),025055.mp3 (0.259),000140.mp3 (0.345),025031.mp3 (0.404)
000368.mp3,025032.mp3 (0.966),000666.mp3 (0.964),005158.mp3 (0.959),025055.mp3 (0.437),000140.mp3 (0.563),000714.mp3 (0.579)
000424.mp3,000546.mp3 (0.965),025233.mp3 (0.935),000212.mp3 (0.934),025031.mp3 (0.507),025055.mp3 (0.554),000825.mp3 (0.559)
000459.mp3,000705.mp3 (0.988),025033.mp3 (0.986),000005.mp3 (0.979),025055.mp3 (0.346),025031.mp3 (0.395),000140.mp3 (0.502)
000534.mp3,000715.mp3 (0.987),005940.mp3 (0.961),000676.mp3 (0.949),025055.mp3 (0.411),025030.mp3 (0.520),025031.mp3 (0.521)
000540.mp3,000141.mp3 (0.981),000200.mp3 (0.971),005171.mp3 (0.963),025030.mp3 (0.574),000714.mp3 (0.610),025055.mp3 (0.613)
000546.mp3,000424.mp3 (0.965),005171.mp3 (0.957),025066.mp3 (0.957),025031.mp3 (0.521),025055.mp3 (0.547),025030.mp3 (0.666)
000574.mp3,000690.mp3 (0.941),000010.mp3 (0.929),000707.mp3 (0.923),025055.mp3 (0.098),000140.mp3 (0.270),025031.mp3 (0.301)
000602.mp3,005169.mp3 (0.994),005156.mp3 (0.992),005157.mp3 (0.988),000825.mp3 (0.510),025055.mp3 (0.577),000897.mp3 (0.621)
000615.mp3,025233.mp3 (0.975),000212.mp3 (0.963),005156.mp3 (0.963),025055.mp3 (0.530),000825.mp3 (0.566),000574.mp3 (0.617)
000620.mp3,000141.mp3 (0.958),000540.mp3 (0.946),000625.mp3 (0.925),025030.mp3 (0.492),025055.mp3 (0.493),000714.mp3 (0.571)
000621.mp3,005156.mp3 (0.970),000194.mp3 (0.969),005157.mp3 (0.969),025055.mp3 (0.567),000825.mp3 (0.610),025031.mp3 (0.630)
000625.mp3,000540.mp3 (0.941),000993.mp3 (0.940),000213.mp3 (0.934),025030.mp3 (0.432),025055.mp3 (0.458),000714.mp3 (0.506)
000666.mp3,000705.mp3 (0.982),025033.mp3 (0.981),025032.mp3 (0.979),025055.mp3 (0.387),025031.mp3 (0.483),000140.mp3 (0.522)
000667.mp3,000182.mp3 (0.987),000997.mp3 (0.982),025033.mp3 (0.981),025055.mp3 (0.183),025031.mp3 (0.298),000140.mp3 (0.367)
000676.mp3,000534.mp3 (0.949),000715.mp3 (0.944),025234.mp3 (0.939),025055.mp3 (0.460),025030.mp3 (0.513),025031.mp3 (0.543)
000690.mp3,000707.mp3 (0.971),000256.mp3 (0.970),005006.mp3 (0.968),025055.mp3 (0.281),000140.mp3 (0.310),025031.mp3 (0.388)
000694.mp3,000892.mp3 (0.930),000002.mp3 (0.924),000853.mp3 (0.923),025055.mp3 (0.340),025031.mp3 (0.463),000140.mp3 (0.486)
000695.mp3,000707.mp3 (0.950),000853.mp3 (0.920),000256.mp3 (0.916),025055.mp3 (0.275),000140.mp3 (0.357),000204.mp3 (0.436)
000704.mp3,000892.mp3 (0.981),025215.mp3 (0.981),025066.mp3 (0.978),025055.mp3 (0.445),025031.mp3 (0.522),025030.mp3 (0.627)
000705.mp3,025033.mp3 (1.000),000002.mp3 (0.988),000459.mp3 (0.988),025055.mp3 (0.332),025031.mp3 (0.437),000140.mp3 (0.520)
000706.mp3,025032.mp3 (0.979),025216.mp3 (0.972),000709.mp3 (0.962),025055.mp3 (0.419),025031.mp3 (0.539),000714.mp3 (0.600)
000707.mp3,000256.mp3 (0.974),000690.mp3 (0.971),000853.mp3 (0.965),025055.mp3 (0.326),000140.mp3 (0.424),025031.mp3 (0.466)
000708.mp3,000853.mp3 (0.947),000256.mp3 (0.945),000705.mp3 (0.941),025055.mp3 (0.208),000140.mp3 (0.423),025031.mp3 (0.432)
000709.mp3,025216.mp3 (0.977),025033.mp3 (0.971),000705.mp3 (0.969),025055.mp3 (0.401),025031.mp3 (0.498),000197.mp3 (0.599)
000714.mp3,025028.mp3 (0.815),000207.mp3 (0.814),000190.mp3 (0.810),025031.mp3 (0.225),025055.mp3 (0.280),025030.mp3 (0.449)
000715.mp3,000534.mp3 (0.987),005940.mp3 (0.958),000718.mp3 (0.958),025055.mp3 (0.462),025030.mp3 (0.543),025031.mp3 (0.552)
000716.mp3,025234.mp3 (0.949),025215.mp3 (0.945),025066.mp3 (0.920),025031.mp3 (0.260),025055.mp3 (0.375),025030.mp3 (0.541)
000718.mp3,000821.mp3 (0.990),000203.mp3 (0.974),000255.mp3 (0.974),025055.mp3 (0.477),025031.mp3 (0.571),025030.mp3 (0.616)
000777.mp3,000255.mp3 (0.977),000821.mp3 (0.973),000718.mp3 (0.964),025055.mp3 (0.540),025031.mp3 (0.596),025030.mp3 (0.636)
000814.mp3,000621.mp3 (0.940),025233.mp3 (0.931),000194.mp3 (0.922),000897.mp3 (0.445),000825.mp3 (0.454),000695.mp3 (0.512)
000821.mp3,000718.mp3 (0.990),025066.mp3 (0.987),000203.mp3 (0.987),025055.mp3 (0.487),025031.mp3 (0.573),025030.mp3 (0.669)
000822.mp3,005521.mp3 (0.893),005264.mp3 (0.876),025378.mp3 (0.874),025031.mp3 (0.452),025055.mp3 (0.581),025030.mp3 (0.582)
000825.mp3,005006.mp3 (0.985),025324.mp3 (0.982),000256.mp3 (0.957),000140.mp3 (0.102),025055.mp3 (0.132),000204.mp3 (0.220)
000853.mp3,000256.mp3 (0.990),005006.mp3 (0.984),025324.mp3 (0.976),025055.mp3 (0.254),000140.mp3 (0.347),025031.mp3 (0.419)
000890.mp3,005521.mp3 (0.954),005264.mp3 (0.952),000709.mp3 (0.951),025055.mp3 (0.575),025031.mp3 (0.665),000714.mp3 (0.674)
000892.mp3,000704.mp3 (0.981),000705.mp3 (0.978),025033.mp3 (0.977),025055.mp3 (0.436),025031.mp3 (0.502),000140.mp3 (0.613)
000897.mp3,000695.mp3 (0.895),025063.mp3 (0.891),000853.mp3 (0.875),025055.mp3 (0.306),000140.mp3 (0.312),000204.mp3 (0.378)
000993.mp3,000010.mp3 (0.966),000625.mp3 (0.940),000676.mp3 (0.931),025030.mp3 (0.424),025055.mp3 (0.454),025031.mp3 (0.493)
000995.mp3,000853.mp3 (0.968),005006.mp3 (0.963),025324.mp3 (0.955),025055.mp3 (0.268),000140.mp3 (0.290),025031.mp3 (0.398)
000997.mp3,000256.mp3 (0.983),000667.mp3 (0.982),005006.mp3 (0.978),025055.mp3 (0.259),000140.mp3 (0.351),025031.mp3 (0.364)
000998.mp3,005879.mp3 (0.945),005376.mp3 (0.896),005191.mp3 (0.894),025031.mp3 (0.457),025055.mp3 (0.470),005936.mp3 (0.479)
005006.mp3,025324.mp3 (0.998),000256.mp3 (0.990),000825.mp3 (0.985),025055.mp3 (0.228),000140.mp3 (0.262),025031.mp3 (0.350)
005156.mp3,005157.mp3 (0.998),005169.mp3 (0.998),000211.mp3 (0.994),025055.mp3 (0.563),000825.mp3 (0.589),025031.mp3 (0.604)
005157.mp3,005156.mp3 (0.998),005169.mp3 (0.996),000211.mp3 (0.996),025055.mp3 (0.567),025031.mp3 (0.611),000825.mp3 (0.623)
005158.mp3,000706.mp3 (0.959),000368.mp3 (0.959),025032.mp3 (0.953),025055.mp3 (0.467),025030.mp3 (0.581),025031.mp3 (0.619)
005159.mp3,005171.mp3 (0.998),005170.mp3 (0.998),000194.mp3 (0.997),000825.mp3 (0.589),025055.mp3 (0.640),025030.mp3 (0.661)
005169.mp3,005156.mp3 (0.998),005157.mp3 (0.996),005159.mp3 (0.995),000825.mp3 (0.572),025055.mp3 (0.596),025031.mp3 (0.625)
005170.mp3,005171.mp3 (0.999),005159.mp3 (0.998),000194.mp3 (0.997),000825.mp3 (0.610),025055.mp3 (0.654),000574.mp3 (0.668)
005171.mp3,005170.mp3 (0.999),005159.mp3 (0.998),000194.mp3 (0.998),000825.mp3 (0.622),025055.mp3 (0.630),025030.mp3 (0.667)
005191.mp3,000459.mp3 (0.969),000005.mp3 (0.964),000997.mp3 (0.962),025055.mp3 (0.298),025031.mp3 (0.307),000140.mp3 (0.396)
005264.mp3,000821.mp3 (0.970),000892.mp3 (0.967),025033.mp3 (0.961),025055.mp3 (0.477),025031.mp3 (0.563),025030.mp3 (0.652)
005268.mp3,000821.mp3 (0.974),000210.mp3 (0.973),000255.mp3 (0.972),025055.mp3 (0.458),025031.mp3 (0.631),025030.mp3 (0.641)
005376.mp3,000666.mp3 (0.956),000368.mp3 (0.956),000707.mp3 (0.938),025055.mp3 (0.542),000140.mp3 (0.572),025030.mp3 (0.594)
005381.mp3,000704.mp3 (0.954),000255.mp3 (0.949),000540.mp3 (0.945),025055.mp3 (0.480),025030.mp3 (0.487),025031.mp3 (0.591)
005521.mp3,005264.mp3 (0.958),000890.mp3 (0.954),005170.mp3 (0.928),000574.mp3 (0.611),025055.mp3 (0.619),000825.mp3 (0.626)
005879.mp3,000193.mp3 (0.965),005191.mp3 (0.951),000998.mp3 (0.945),025031.mp3 (0.375),025055.mp3 (0.384),005936.mp3 (0.480)
005936.mp3,000204.mp3 (0.951),000140.mp3 (0.944),000200.mp3 (0.897),000825.mp3 (0.238),005006.mp3 (0.385),025324.mp3 (0.387)
005940.mp3,000210.mp3 (0.990),000203.mp3 (0.987),025601.mp3 (0.984),025055.mp3 (0.495),000825.mp3 (0.593),025031.mp3 (0.599)
025028.mp3,025378.mp3 (0.967),000193.mp3 (0.954),005264.mp3 (0.947),025055.mp3 (0.454),025031.mp3 (0.518),025030.mp3 (0.567)
025029.mp3,000194.mp3 (0.963),005156.mp3 (0.962),005157.mp3 (0.961),025055.mp3 (0.594),000897.mp3 (0.599),000825.mp3 (0.614)
025030.mp3,000890.mp3 (0.748),000621.mp3 (0.747),000897.mp3 (0.713),000574.mp3 (0.334),000993.mp3 (0.424),000625.mp3 (0.432)
025031.mp3,000197.mp3 (0.866),005936.mp3 (0.847),025055.mp3 (0.804),000714.mp3 (0.225),000825.mp3 (0.259),000716.mp3 (0.260)
025032.mp3,000706.mp3 (0.979),000666.mp3 (0.979),000368.mp3 (0.966),025055.mp3 (0.403),025031.mp3 (0.492),000140.mp3 (0.564)
025033.mp3,000705.mp3 (1.000),000002.mp3 (0.986),000459.mp3 (0.986),025055.mp3 (0.333),025031.mp3 (0.433),000140.mp3 (0.527)
025055.mp3,000197.mp3 (0.918),025031.mp3 (0.804),000140.mp3 (0.793),000574.mp3 (0.098),000825.mp3 (0.132),000182.mp3 (0.172)
025063.mp3,000707.mp3 (0.928),000666.mp3 (0.904),000459.mp3 (0.902),000140.mp3 (0.488),025031.mp3 (0.498),025055.mp3 (0.504)
025066.mp3,025601.mp3 (0.992),000203.mp3 (0.991),000821.mp3 (0.987),025055.mp3 (0.443),025031.mp3 (0.508),025030.mp3 (0.666)
025104.mp3,000148.mp3 (0.946),000706.mp3 (0.912),000368.mp3 (0.909),025055.mp3 (0.380),000714.mp3 (0.541),000140.mp3 (0.550)
025124.mp3,025235.mp3 (0.953),000213.mp3 (0.943),000141.mp3 (0.941),025030.mp3 (0.498),000897.mp3 (0.573),000714.mp3 (0.582)
025215.mp3,025234.mp3 (0.988),000704.mp3 (0.981),025066.mp3 (0.978),025055.mp3 (0.385),025031.mp3 (0.435),025030.mp3 (0.608)
025216.mp3,000709.mp3 (0.977),000706.mp3 (0.972),005264.mp3 (0.946),025055.mp3 (0.415),025031.mp3 (0.555),000714.mp3 (0.615)
025227.mp3,025029.mp3 (0.943),000207.mp3 (0.905),000892.mp3 (0.894),025055.mp3 (0.501),025031.mp3 (0.575),000897.mp3 (0.592)
025232.mp3,000190.mp3 (0.954),025029.mp3 (0.886),000546.mp3 (0.884),025031.mp3 (0.426),000574.mp3 (0.521),000825.mp3 (0.522)
025233.mp3,000212.mp3 (0.976),000615.mp3 (0.975),000210.mp3 (0.972),025055.mp3 (0.524),000825.mp3 (0.607),025031.mp3 (0.620)
025234.mp3,025215.mp3 (0.988),000704.mp3 (0.974),025066.mp3 (0.972),025055.mp3 (0.437),025031.mp3 (0.465),025030.mp3 (0.623)
025235.mp3,025124.mp3 (0.953),005158.mp3 (0.947),000706.mp3 (0.947),025055.mp3 (0.543),025030.mp3 (0.555),000714.mp3 (0.573)
025324.mp3,005006.mp3 (0.998),000256.mp3 (0.985),000825.mp3 (0.982),025055.mp3 (0.265),000140.mp3 (0.278),025031.mp3 (0.360)
025378.mp3,025028.mp3 (0.967),000193.mp3 (0.953),005158.mp3 (0.949),025055.mp3 (0.451),025030.mp3 (0.495),025031.mp3 (0.528)
025601.mp3,000203.mp3 (0.995),025066.mp3 (0.992),000210.mp3 (0.991),025055.mp3 (0.441),025031.mp3 (0.515),000825.mp3 (0.630)
